index,glyph_id,key_hex,key_bytes,char,source,reserved,unicode
0,0x2E,0x815B,815B,ー,original,0,U+30FC
1,0x2E,0x817C,817C,−,original,0,U+2212
2,0x48,0x829F,829F,ぁ,original,0,U+3041
3,0x00,0x82A0,82A0,あ,original,0,U+3042
4,0x49,0x82A1,82A1,ぃ,original,0,U+3043
5,0x01,0x82A2,82A2,い,original,0,U+3044
6,0x4A,0x82A3,82A3,ぅ,original,0,U+3045
7,0x02,0x82A4,82A4,う,original,0,U+3046
8,0x4B,0x82A5,82A5,ぇ,original,0,U+3047
9,0x03,0x82A6,82A6,え,original,0,U+3048
10,0x4C,0x82A7,82A7,ぉ,original,0,U+3049
11,0x04,0x82A8,82A8,お,original,0,U+304A
12,0x05,0x82A9,82A9,か,original,0,U+304B
13,0x2F,0x82AA,82AA,が,original,0,U+304C
14,0x06,0x82AB,82AB,き,original,0,U+304D
15,0x30,0x82AC,82AC,ぎ,original,0,U+304E
16,0x07,0x82AD,82AD,く,original,0,U+304F
17,0x31,0x82AE,82AE,ぐ,original,0,U+3050
18,0x08,0x82AF,82AF,け,original,0,U+3051
19,0x32,0x82B0,82B0,げ,original,0,U+3052
20,0x09,0x82B1,82B1,こ,original,0,U+3053
21,0x33,0x82B2,82B2,ご,original,0,U+3054
22,0x0A,0x82B3,82B3,さ,original,0,U+3055
23,0x34,0x82B4,82B4,ざ,original,0,U+3056
24,0x0B,0x82B5,82B5,し,original,0,U+3057
25,0x35,0x82B6,82B6,じ,original,0,U+3058
26,0x0C,0x82B7,82B7,す,original,0,U+3059
27,0x36,0x82B8,82B8,ず,original,0,U+305A
28,0x0D,0x82B9,82B9,せ,original,0,U+305B
29,0x37,0x82BA,82BA,ぜ,original,0,U+305C
30,0x0E,0x82BB,82BB,そ,original,0,U+305D
31,0x38,0x82BC,82BC,ぞ,original,0,U+305E
32,0x0F,0x82BD,82BD,た,original,0,U+305F
33,0x39,0x82BE,82BE,だ,original,0,U+3060
34,0x10,0x82BF,82BF,ち,original,0,U+3061
35,0x3A,0x82C0,82C0,ぢ,original,0,U+3062
36,0x4D,0x82C1,82C1,っ,original,0,U+3063
37,0x11,0x82C2,82C2,つ,original,0,U+3064
38,0x3B,0x82C3,82C3,づ,original,0,U+3065
39,0x12,0x82C4,82C4,て,original,0,U+3066
40,0x3C,0x82C5,82C5,で,original,0,U+3067
41,0x13,0x82C6,82C6,と,original,0,U+3068
42,0x3D,0x82C7,82C7,ど,original,0,U+3069
43,0x14,0x82C8,82C8,な,original,0,U+306A
44,0x15,0x82C9,82C9,に,original,0,U+306B
45,0x16,0x82CA,82CA,ぬ,original,0,U+306C
46,0x17,0x82CB,82CB,ね,original,0,U+306D
47,0x18,0x82CC,82CC,の,original,0,U+306E
48,0x19,0x82CD,82CD,は,original,0,U+306F
49,0x3E,0x82CE,82CE,ば,original,0,U+3070
50,0x43,0x82CF,82CF,ぱ,original,0,U+3071
51,0x1A,0x82D0,82D0,ひ,original,0,U+3072
52,0x3F,0x82D1,82D1,び,original,0,U+3073
53,0x44,0x82D2,82D2,ぴ,original,0,U+3074
54,0x1B,0x82D3,82D3,ふ,original,0,U+3075
55,0x40,0x82D4,82D4,ぶ,original,0,U+3076
56,0x45,0x82D5,82D5,ぷ,original,0,U+3077
57,0x1C,0x82D6,82D6,へ,original,0,U+3078
58,0x41,0x82D7,82D7,べ,original,0,U+3079
59,0x46,0x82D8,82D8,ぺ,original,0,U+307A
60,0x1D,0x82D9,82D9,ほ,original,0,U+307B
61,0x42,0x82DA,82DA,ぼ,original,0,U+307C
62,0x47,0x82DB,82DB,ぽ,original,0,U+307D
63,0x1E,0x82DC,82DC,ま,original,0,U+307E
64,0x1F,0x82DD,82DD,み,original,0,U+307F
65,0x20,0x82DE,82DE,む,original,0,U+3080
66,0x21,0x82DF,82DF,め,original,0,U+3081
67,0x22,0x82E0,82E0,も,original,0,U+3082
68,0x4E,0x82E1,82E1,ゃ,original,0,U+3083
69,0x23,0x82E2,82E2,や,original,0,U+3084
70,0x4F,0x82E3,82E3,ゅ,original,0,U+3085
71,0x24,0x82E4,82E4,ゆ,original,0,U+3086
72,0x50,0x82E5,82E5,ょ,original,0,U+3087
73,0x25,0x82E6,82E6,よ,original,0,U+3088
74,0x26,0x82E7,82E7,ら,original,0,U+3089
75,0x27,0x82E8,82E8,り,original,0,U+308A
76,0x28,0x82E9,82E9,る,original,0,U+308B
77,0x29,0x82EA,82EA,れ,original,0,U+308C
78,0x2A,0x82EB,82EB,ろ,original,0,U+308D
