char,unicode,encoding,key_hex,glyph_id
一,U+4E00,private,0xF040,0x51
丁,U+4E01,private,0xF041,0x52
七,U+4E03,private,0xF042,0x53
万,U+4E07,private,0xF043,0x54
三,U+4E09,private,0xF044,0x55
上,U+4E0A,private,0xF045,0x56
下,U+4E0B,private,0xF046,0x57
不,U+4E0D,private,0xF047,0x58
与,U+4E0E,private,0xF048,0x59
专,U+4E13,private,0xF049,0x5A
且,U+4E14,private,0xF04A,0x5B
世,U+4E16,private,0xF04B,0x5C
业,U+4E1A,private,0xF04C,0x5D
丛,U+4E1B,private,0xF04D,0x5E
东,U+4E1C,private,0xF04E,0x5F
丝,U+4E1D,private,0xF04F,0x60
丢,U+4E22,private,0xF050,0x61
两,U+4E24,private,0xF051,0x62
严,U+4E25,private,0xF052,0x63
丧,U+4E27,private,0xF053,0x64
个,U+4E2A,private,0xF054,0x65
丫,U+4E2B,private,0xF055,0x66
中,U+4E2D,private,0xF056,0x67
丰,U+4E30,private,0xF057,0x68
串,U+4E32,private,0xF058,0x69
临,U+4E34,private,0xF059,0x6A
丸,U+4E38,private,0xF05A,0x6B
为,U+4E3A,private,0xF05B,0x6C
主,U+4E3B,private,0xF05C,0x6D
丽,U+4E3D,private,0xF05D,0x6E
举,U+4E3E,private,0xF05E,0x6F
久,U+4E45,private,0xF05F,0x70
么,U+4E48,private,0xF060,0x71
义,U+4E49,private,0xF061,0x72
之,U+4E4B,private,0xF062,0x73
乌,U+4E4C,private,0xF063,0x74
乎,U+4E4E,private,0xF064,0x75
乏,U+4E4F,private,0xF065,0x76
乐,U+4E50,private,0xF066,0x77
乖,U+4E56,private,0xF067,0x78
也,U+4E5F,private,0xF068,0x79
习,U+4E60,private,0xF069,0x7A
乡,U+4E61,private,0xF06A,0x7B
书,U+4E66,private,0xF06B,0x7C
买,U+4E70,private,0xF06C,0x7D
乱,U+4E71,private,0xF06D,0x7E
乳,U+4E73,private,0xF06E,0x7F
了,U+4E86,private,0xF06F,0x80
予,U+4E88,private,0xF070,0x81
争,U+4E89,private,0xF071,0x82
事,U+4E8B,private,0xF072,0x83
二,U+4E8C,private,0xF073,0x84
于,U+4E8E,private,0xF074,0x85
亏,U+4E8F,private,0xF075,0x86
云,U+4E91,private,0xF076,0x87
互,U+4E92,private,0xF077,0x88
五,U+4E94,private,0xF078,0x89
井,U+4E95,private,0xF079,0x8A
亚,U+4E9A,private,0xF07A,0x8B
些,U+4E9B,private,0xF07B,0x8C
交,U+4EA4,private,0xF07C,0x8D
亦,U+4EA6,private,0xF07D,0x8E
产,U+4EA7,private,0xF07E,0x8F
享,U+4EAB,private,0xF080,0x90
京,U+4EAC,private,0xF081,0x91
亮,U+4EAE,private,0xF082,0x92
亲,U+4EB2,private,0xF083,0x93
人,U+4EBA,private,0xF084,0x94
亿,U+4EBF,private,0xF085,0x95
什,U+4EC0,private,0xF086,0x96
仁,U+4EC1,private,0xF087,0x97
仅,U+4EC5,private,0xF088,0x98
仆,U+4EC6,private,0xF089,0x99
仇,U+4EC7,private,0xF08A,0x9A
今,U+4ECA,private,0xF08B,0x9B
介,U+4ECB,private,0xF08C,0x9C
仍,U+4ECD,private,0xF08D,0x9D
从,U+4ECE,private,0xF08E,0x9E
仓,U+4ED3,private,0xF08F,0x9F
仔,U+4ED4,private,0xF090,0xA0
他,U+4ED6,private,0xF091,0xA1
付,U+4ED8,private,0xF092,0xA2
仙,U+4ED9,private,0xF093,0xA3
代,U+4EE3,private,0xF094,0xA4
令,U+4EE4,private,0xF095,0xA5
以,U+4EE5,private,0xF096,0xA6
仪,U+4EEA,private,0xF097,0xA7
们,U+4EEC,private,0xF098,0xA8
仰,U+4EF0,private,0xF099,0xA9
件,U+4EF6,private,0xF09A,0xAA
价,U+4EF7,private,0xF09B,0xAB
任,U+4EFB,private,0xF09C,0xAC
份,U+4EFD,private,0xF09D,0xAD
仿,U+4EFF,private,0xF09E,0xAE
企,U+4F01,private,0xF09F,0xAF
伊,U+4F0A,private,0xF0A0,0xB0
伍,U+4F0D,private,0xF0A1,0xB1
伏,U+4F0F,private,0xF0A2,0xB2
伐,U+4F10,private,0xF0A3,0xB3
休,U+4F11,private,0xF0A4,0xB4
众,U+4F17,private,0xF0A5,0xB5
优,U+4F18,private,0xF0A6,0xB6
伙,U+4F19,private,0xF0A7,0xB7
会,U+4F1A,private,0xF0A8,0xB8
伞,U+4F1E,private,0xF0A9,0xB9
伟,U+4F1F,private,0xF0AA,0xBA
传,U+4F20,private,0xF0AB,0xBB
伤,U+4F24,private,0xF0AC,0xBC
伦,U+4F26,private,0xF0AD,0xBD
伪,U+4F2A,private,0xF0AE,0xBE
估,U+4F30,private,0xF0AF,0xBF
伴,U+4F34,private,0xF0B0,0xC0
伸,U+4F38,private,0xF0B1,0xC1
似,U+4F3C,private,0xF0B2,0xC2
但,U+4F46,private,0xF0B3,0xC3
位,U+4F4D,private,0xF0B4,0xC4
低,U+4F4E,private,0xF0B5,0xC5
住,U+4F4F,private,0xF0B6,0xC6
佐,U+4F50,private,0xF0B7,0xC7
体,U+4F53,private,0xF0B8,0xC8
何,U+4F55,private,0xF0B9,0xC9
余,U+4F59,private,0xF0BA,0xCA
佛,U+4F5B,private,0xF0BB,0xCB
作,U+4F5C,private,0xF0BC,0xCC
你,U+4F60,private,0xF0BD,0xCD
佣,U+4F63,private,0xF0BE,0xCE
佩,U+4F69,private,0xF0BF,0xCF
佳,U+4F73,private,0xF0C0,0xD0
使,U+4F7F,private,0xF0C1,0xD1
侈,U+4F88,private,0xF0C2,0xD2
例,U+4F8B,private,0xF0C3,0xD3
供,U+4F9B,private,0xF0C4,0xD4
依,U+4F9D,private,0xF0C5,0xD5
侣,U+4FA3,private,0xF0C6,0xD6
侦,U+4FA6,private,0xF0C7,0xD7
侧,U+4FA7,private,0xF0C8,0xD8
侵,U+4FB5,private,0xF0C9,0xD9
便,U+4FBF,private,0xF0CA,0xDA
促,U+4FC3,private,0xF0CB,0xDB
俏,U+4FCF,private,0xF0CC,0xDC
俗,U+4FD7,private,0xF0CD,0xDD
保,U+4FDD,private,0xF0CE,0xDE
信,U+4FE1,private,0xF0CF,0xDF
俩,U+4FE9,private,0xF0D0,0xE0
修,U+4FEE,private,0xF0D1,0xE1
俯,U+4FEF,private,0xF0D2,0xE2
俱,U+4FF1,private,0xF0D3,0xE3
俺,U+4FFA,private,0xF0D4,0xE4
倍,U+500D,private,0xF0D5,0xE5
倒,U+5012,private,0xF0D6,0xE6
倔,U+5014,private,0xF0D7,0xE7
候,U+5019,private,0xF0D8,0xE8
借,U+501F,private,0xF0D9,0xE9
倦,U+5026,private,0xF0DA,0xEA
值,U+503C,private,0xF0DB,0xEB
倾,U+503E,private,0xF0DC,0xEC
假,U+5047,private,0xF0DD,0xED
偏,U+504F,private,0xF0DE,0xEE
做,U+505A,private,0xF0DF,0xEF
停,U+505C,private,0xF0E0,0xF0
健,U+5065,private,0xF0E1,0xF1
偶,U+5076,private,0xF0E2,0xF2
偷,U+5077,private,0xF0E3,0xF3
催,U+50AC,private,0xF0E4,0xF4
傲,U+50B2,private,0xF0E5,0xF5
傻,U+50BB,private,0xF0E6,0xF6
像,U+50CF,private,0xF0E7,0xF7
僵,U+50F5,private,0xF0E8,0xF8
儿,U+513F,private,0xF0E9,0xF9
允,U+5141,private,0xF0EA,0xFA
元,U+5143,private,0xF0EB,0xFB
兄,U+5144,private,0xF0EC,0xFC
充,U+5145,private,0xF0ED,0xFD
兆,U+5146,private,0xF0EE,0xFE
先,U+5148,private,0xF0EF,0xFF
光,U+5149,private,0xF0F0,0x100
克,U+514B,private,0xF0F1,0x101
免,U+514D,private,0xF0F2,0x102
兔,U+5154,private,0xF0F3,0x103
兢,U+5162,private,0xF0F4,0x104
入,U+5165,private,0xF0F5,0x105
全,U+5168,private,0xF0F6,0x106
八,U+516B,private,0xF0F7,0x107
公,U+516C,private,0xF0F8,0x108
兮,U+516E,private,0xF0F9,0x109
共,U+5171,private,0xF0FA,0x10A
关,U+5173,private,0xF0FB,0x10B
兴,U+5174,private,0xF0FC,0x10C
兵,U+5175,private,0xF140,0x10D
其,U+5176,private,0xF141,0x10E
具,U+5177,private,0xF142,0x10F
典,U+5178,private,0xF143,0x110
养,U+517B,private,0xF144,0x111
兼,U+517C,private,0xF145,0x112
兽,U+517D,private,0xF146,0x113
冀,U+5180,private,0xF147,0x114
内,U+5185,private,0xF148,0x115
冈,U+5188,private,0xF149,0x116
册,U+518C,private,0xF14A,0x117
再,U+518D,private,0xF14B,0x118
冒,U+5192,private,0xF14C,0x119
写,U+5199,private,0xF14D,0x11A
军,U+519B,private,0xF14E,0x11B
冠,U+51A0,private,0xF14F,0x11C
冤,U+51A4,private,0xF150,0x11D
冬,U+51AC,private,0xF151,0x11E
冰,U+51B0,private,0xF152,0x11F
冲,U+51B2,private,0xF153,0x120
决,U+51B3,private,0xF154,0x121
况,U+51B5,private,0xF155,0x122
冷,U+51B7,private,0xF156,0x123
冻,U+51BB,private,0xF157,0x124
净,U+51C0,private,0xF158,0x125
准,U+51C6,private,0xF159,0x126
凉,U+51C9,private,0xF15A,0x127
凋,U+51CB,private,0xF15B,0x128
凌,U+51CC,private,0xF15C,0x129
减,U+51CF,private,0xF15D,0x12A
凑,U+51D1,private,0xF15E,0x12B
凝,U+51DD,private,0xF15F,0x12C
几,U+51E0,private,0xF160,0x12D
凡,U+51E1,private,0xF161,0x12E
凭,U+51ED,private,0xF162,0x12F
凶,U+51F6,private,0xF163,0x130
凸,U+51F8,private,0xF164,0x131
出,U+51FA,private,0xF165,0x132
击,U+51FB,private,0xF166,0x133
函,U+51FD,private,0xF167,0x134
刀,U+5200,private,0xF168,0x135
刁,U+5201,private,0xF169,0x136
刃,U+5203,private,0xF16A,0x137
分,U+5206,private,0xF16B,0x138
切,U+5207,private,0xF16C,0x139
刊,U+520A,private,0xF16D,0x13A
刑,U+5211,private,0xF16E,0x13B
划,U+5212,private,0xF16F,0x13C
列,U+5217,private,0xF170,0x13D
则,U+5219,private,0xF171,0x13E
刚,U+521A,private,0xF172,0x13F
创,U+521B,private,0xF173,0x140
初,U+521D,private,0xF174,0x141
删,U+5220,private,0xF175,0x142
判,U+5224,private,0xF176,0x143
利,U+5229,private,0xF177,0x144
别,U+522B,private,0xF178,0x145
刮,U+522E,private,0xF179,0x146
到,U+5230,private,0xF17A,0x147
制,U+5236,private,0xF17B,0x148
刷,U+5237,private,0xF17C,0x149
券,U+5238,private,0xF17D,0x14A
刺,U+523A,private,0xF17E,0x14B
刻,U+523B,private,0xF180,0x14C
剂,U+5242,private,0xF181,0x14D
前,U+524D,private,0xF182,0x14E
剑,U+5251,private,0xF183,0x14F
剔,U+5254,private,0xF184,0x150
剖,U+5256,private,0xF185,0x151
剧,U+5267,private,0xF186,0x152
剩,U+5269,private,0xF187,0x153
剪,U+526A,private,0xF188,0x154
副,U+526F,private,0xF189,0x155
劈,U+5288,private,0xF18A,0x156
力,U+529B,private,0xF18B,0x157
劝,U+529D,private,0xF18C,0x158
办,U+529E,private,0xF18D,0x159
功,U+529F,private,0xF18E,0x15A
加,U+52A0,private,0xF18F,0x15B
务,U+52A1,private,0xF190,0x15C
劣,U+52A3,private,0xF191,0x15D
动,U+52A8,private,0xF192,0x15E
助,U+52A9,private,0xF193,0x15F
努,U+52AA,private,0xF194,0x160
励,U+52B1,private,0xF195,0x161
劲,U+52B2,private,0xF196,0x162
劳,U+52B3,private,0xF197,0x163
势,U+52BF,private,0xF198,0x164
勃,U+52C3,private,0xF199,0x165
勇,U+52C7,private,0xF19A,0x166
勉,U+52C9,private,0xF19B,0x167
勒,U+52D2,private,0xF19C,0x168
募,U+52DF,private,0xF19D,0x169
勤,U+52E4,private,0xF19E,0x16A
勾,U+52FE,private,0xF19F,0x16B
匀,U+5300,private,0xF1A0,0x16C
包,U+5305,private,0xF1A1,0x16D
匆,U+5306,private,0xF1A2,0x16E
化,U+5316,private,0xF1A3,0x16F
北,U+5317,private,0xF1A4,0x170
匹,U+5339,private,0xF1A5,0x171
区,U+533A,private,0xF1A6,0x172
医,U+533B,private,0xF1A7,0x173
十,U+5341,private,0xF1A8,0x174
千,U+5343,private,0xF1A9,0x175
升,U+5347,private,0xF1AA,0x176
午,U+5348,private,0xF1AB,0x177
卉,U+5349,private,0xF1AC,0x178
半,U+534A,private,0xF1AD,0x179
华,U+534E,private,0xF1AE,0x17A
协,U+534F,private,0xF1AF,0x17B
卑,U+5351,private,0xF1B0,0x17C
单,U+5355,private,0xF1B1,0x17D
卖,U+5356,private,0xF1B2,0x17E
南,U+5357,private,0xF1B3,0x17F
博,U+535A,private,0xF1B4,0x180
卜,U+535C,private,0xF1B5,0x181
卟,U+535F,private,0xF1B6,0x182
占,U+5360,private,0xF1B7,0x183
卡,U+5361,private,0xF1B8,0x184
卧,U+5367,private,0xF1B9,0x185
卫,U+536B,private,0xF1BA,0x186
印,U+5370,private,0xF1BB,0x187
危,U+5371,private,0xF1BC,0x188
即,U+5373,private,0xF1BD,0x189
却,U+5374,private,0xF1BE,0x18A
卵,U+5375,private,0xF1BF,0x18B
卷,U+5377,private,0xF1C0,0x18C
厂,U+5382,private,0xF1C1,0x18D
厅,U+5385,private,0xF1C2,0x18E
历,U+5386,private,0xF1C3,0x18F
厉,U+5389,private,0xF1C4,0x190
压,U+538B,private,0xF1C5,0x191
厌,U+538C,private,0xF1C6,0x192
厕,U+5395,private,0xF1C7,0x193
厚,U+539A,private,0xF1C8,0x194
原,U+539F,private,0xF1C9,0x195
厢,U+53A2,private,0xF1CA,0x196
厨,U+53A8,private,0xF1CB,0x197
去,U+53BB,private,0xF1CC,0x198
县,U+53BF,private,0xF1CD,0x199
参,U+53C2,private,0xF1CE,0x19A
又,U+53C8,private,0xF1CF,0x19B
叉,U+53C9,private,0xF1D0,0x19C
及,U+53CA,private,0xF1D1,0x19D
友,U+53CB,private,0xF1D2,0x19E
双,U+53CC,private,0xF1D3,0x19F
反,U+53CD,private,0xF1D4,0x1A0
发,U+53D1,private,0xF1D5,0x1A1
叔,U+53D4,private,0xF1D6,0x1A2
取,U+53D6,private,0xF1D7,0x1A3
受,U+53D7,private,0xF1D8,0x1A4
变,U+53D8,private,0xF1D9,0x1A5
叙,U+53D9,private,0xF1DA,0x1A6
叛,U+53DB,private,0xF1DB,0x1A7
叠,U+53E0,private,0xF1DC,0x1A8
口,U+53E3,private,0xF1DD,0x1A9
古,U+53E4,private,0xF1DE,0x1AA
句,U+53E5,private,0xF1DF,0x1AB
另,U+53E6,private,0xF1E0,0x1AC
叨,U+53E8,private,0xF1E1,0x1AD
只,U+53EA,private,0xF1E2,0x1AE
叫,U+53EB,private,0xF1E3,0x1AF
召,U+53EC,private,0xF1E4,0x1B0
叭,U+53ED,private,0xF1E5,0x1B1
叮,U+53EE,private,0xF1E6,0x1B2
可,U+53EF,private,0xF1E7,0x1B3
台,U+53F0,private,0xF1E8,0x1B4
史,U+53F2,private,0xF1E9,0x1B5
右,U+53F3,private,0xF1EA,0x1B6
叶,U+53F6,private,0xF1EB,0x1B7
号,U+53F7,private,0xF1EC,0x1B8
司,U+53F8,private,0xF1ED,0x1B9
叹,U+53F9,private,0xF1EE,0x1BA
叽,U+53FD,private,0xF1EF,0x1BB
吃,U+5403,private,0xF1F0,0x1BC
各,U+5404,private,0xF1F1,0x1BD
吆,U+5406,private,0xF1F2,0x1BE
合,U+5408,private,0xF1F3,0x1BF
吉,U+5409,private,0xF1F4,0x1C0
吊,U+540A,private,0xF1F5,0x1C1
同,U+540C,private,0xF1F6,0x1C2
名,U+540D,private,0xF1F7,0x1C3
后,U+540E,private,0xF1F8,0x1C4
吐,U+5410,private,0xF1F9,0x1C5
向,U+5411,private,0xF1FA,0x1C6
吓,U+5413,private,0xF1FB,0x1C7
吗,U+5417,private,0xF1FC,0x1C8
君,U+541B,private,0xF240,0x1C9
吞,U+541E,private,0xF241,0x1CA
吡,U+5421,private,0xF242,0x1CB
否,U+5426,private,0xF243,0x1CC
吧,U+5427,private,0xF244,0x1CD
吩,U+5429,private,0xF245,0x1CE
含,U+542B,private,0xF246,0x1CF
听,U+542C,private,0xF247,0x1D0
启,U+542F,private,0xF248,0x1D1
吱,U+5431,private,0xF249,0x1D2
吵,U+5435,private,0xF24A,0x1D3
吸,U+5438,private,0xF24B,0x1D4
吹,U+5439,private,0xF24C,0x1D5
吻,U+543B,private,0xF24D,0x1D6
吼,U+543C,private,0xF24E,0x1D7
呀,U+5440,private,0xF24F,0x1D8
呃,U+5443,private,0xF250,0x1D9
呆,U+5446,private,0xF251,0x1DA
告,U+544A,private,0xF252,0x1DB
呐,U+5450,private,0xF253,0x1DC
呕,U+5455,private,0xF254,0x1DD
员,U+5458,private,0xF255,0x1DE
呜,U+545C,private,0xF256,0x1DF
呢,U+5462,private,0xF257,0x1E0
呦,U+5466,private,0xF258,0x1E1
周,U+5468,private,0xF259,0x1E2
味,U+5473,private,0xF25A,0x1E3
呵,U+5475,private,0xF25B,0x1E4
呸,U+5478,private,0xF25C,0x1E5
呼,U+547C,private,0xF25D,0x1E6
命,U+547D,private,0xF25E,0x1E7
和,U+548C,private,0xF25F,0x1E8
咐,U+5490,private,0xF260,0x1E9
咒,U+5492,private,0xF261,0x1EA
咔,U+5494,private,0xF262,0x1EB
咕,U+5495,private,0xF263,0x1EC
咖,U+5496,private,0xF264,0x1ED
咙,U+5499,private,0xF265,0x1EE
咚,U+549A,private,0xF266,0x1EF
咣,U+54A3,private,0xF267,0x1F0
咦,U+54A6,private,0xF268,0x1F1
咧,U+54A7,private,0xF269,0x1F2
