glyph_id,char,source,key_hex,unicode
0x2E,ー,original,0x815B,U+30FC
0x2E,−,original,0x817C,U+2212
0x48,ぁ,original,0x829F,U+3041
0x00,あ,original,0x82A0,U+3042
0x49,ぃ,original,0x82A1,U+3043
0x01,い,original,0x82A2,U+3044
0x4A,ぅ,original,0x82A3,U+3045
0x02,う,original,0x82A4,U+3046
0x4B,ぇ,original,0x82A5,U+3047
0x03,え,original,0x82A6,U+3048
0x4C,ぉ,original,0x82A7,U+3049
0x04,お,original,0x82A8,U+304A
0x05,か,original,0x82A9,U+304B
0x2F,が,original,0x82AA,U+304C
0x06,き,original,0x82AB,U+304D
0x30,ぎ,original,0x82AC,U+304E
0x07,く,original,0x82AD,U+304F
0x31,ぐ,original,0x82AE,U+3050
0x08,け,original,0x82AF,U+3051
0x32,げ,original,0x82B0,U+3052
0x09,こ,original,0x82B1,U+3053
0x33,ご,original,0x82B2,U+3054
0x0A,さ,original,0x82B3,U+3055
0x34,ざ,original,0x82B4,U+3056
0x0B,し,original,0x82B5,U+3057
0x35,じ,original,0x82B6,U+3058
0x0C,す,original,0x82B7,U+3059
0x36,ず,original,0x82B8,U+305A
0x0D,せ,original,0x82B9,U+305B
0x37,ぜ,original,0x82BA,U+305C
0x0E,そ,original,0x82BB,U+305D
0x38,ぞ,original,0x82BC,U+305E
0x0F,た,original,0x82BD,U+305F
0x39,だ,original,0x82BE,U+3060
0x10,ち,original,0x82BF,U+3061
0x3A,ぢ,original,0x82C0,U+3062
0x4D,っ,original,0x82C1,U+3063
0x11,つ,original,0x82C2,U+3064
0x3B,づ,original,0x82C3,U+3065
0x12,て,original,0x82C4,U+3066
0x3C,で,original,0x82C5,U+3067
0x13,と,original,0x82C6,U+3068
0x3D,ど,original,0x82C7,U+3069
0x14,な,original,0x82C8,U+306A
0x15,に,original,0x82C9,U+306B
0x16,ぬ,original,0x82CA,U+306C
0x17,ね,original,0x82CB,U+306D
0x18,の,original,0x82CC,U+306E
0x19,は,original,0x82CD,U+306F
0x3E,ば,original,0x82CE,U+3070
0x43,ぱ,original,0x82CF,U+3071
0x1A,ひ,original,0x82D0,U+3072
